City,Cloudiness,Country,Date,Humidity,Lats,Lngs,Temperature,Wind Speed (mph)
puerto ayora,40.0,EC,1559086072,65.0,-0.74,-90.35,27.0,6.2
talnakh,0.0,RU,1559086073,74.0,69.49,88.39,3.0,9.0
busselton,0.0,AU,1559086074,63.0,-33.64,115.35,10.56,8.54
nikolskoye,90.0,RU,1559086076,93.0,59.7,30.79,14.44,4.0
sale,32.0,GB,1559086064,81.0,53.42,-2.32,9.44,1.5
lasa,0.0,CY,1559086078,33.0,34.92,32.53,23.0,3.6
bluff,24.0,AU,1559086079,32.0,-23.58,149.07,19.71,1.24
kempele,99.0,FI,1559086080,87.0,64.91,25.51,11.0,3.1
juneau,90.0,US,1559086082,87.0,58.3,-134.42,17.0,2.6
mataura,10.0,NZ,1559086083,79.0,-46.19,168.86,11.11,0.89
geraldton,75.0,CA,1559086084,24.0,49.72,-86.95,20.0,7.7
canutama,82.0,BR,1559086085,76.0,-6.53,-64.38,26.14,0.68
khatanga,77.0,RU,1559086086,99.0,71.98,102.47,0.75,2.04
punta arenas,0.0,CL,1559086088,69.0,-53.16,-70.91,4.0,7.2
petrovsk-zabaykalskiy,15.0,RU,1559086089,52.0,51.27,108.84,5.45,4.2
samarai,100.0,PG,1559086090,93.0,-10.62,150.67,24.94,2.37
ushuaia,75.0,AR,1559086009,74.0,-54.81,-68.31,3.0,13.4
georgetown,20.0,GY,1559085922,83.0,6.8,-58.16,28.0,4.1
hermanus,8.0,ZA,1559086096,82.0,-34.42,19.24,14.44,5.81
udachnyy,90.0,RU,1559086098,63.0,66.42,112.4,0.0,5.0
lipetsk,0.0,RU,1559085988,77.0,52.6,39.59,16.0,4.0
saint george,20.0,GR,1559086100,52.0,39.45,22.34,20.0,2.6
padang,40.0,ID,1559086102,94.0,-0.92,100.36,25.0,0.5
mar del plata,90.0,AR,1559086104,68.0,-46.43,-67.52,3.31,3.16
albany,90.0,US,1559085852,81.0,42.65,-73.75,15.0,2.1
barrow,2.0,AR,1559086107,74.0,-38.31,-60.23,8.56,2.73
dingle,0.0,PH,1559086108,63.0,11.0,122.67,29.94,3.01
port macquarie,0.0,AU,1559086110,38.0,-31.43,152.91,18.33,6.7
port elizabeth,1.0,US,1559086111,83.0,39.31,-74.98,28.33,3.03
kavaratti,47.0,IN,1559086108,78.0,10.57,72.64,29.6,5.77
praya,20.0,ID,1559086114,94.0,-8.71,116.27,24.0,1.69
bitung,20.0,ID,1559086115,94.0,1.44,125.19,25.0,1.5
mayo,75.0,CA,1559086116,48.0,63.59,-135.9,18.0,4.6
yellowknife,75.0,CA,1559086119,33.0,62.45,-114.38,18.0,6.2
sao filipe,3.0,CV,1559086120,84.0,14.9,-24.5,23.59,5.68
cabo san lucas,5.0,MX,1559086077,53.0,22.89,-109.91,30.56,4.1
port-gentil,40.0,GA,1559086123,88.0,-0.72,8.78,26.0,3.1
bredasdorp,0.0,ZA,1559086125,77.0,-34.53,20.04,15.0,5.1
rikitea,75.0,PF,1559086126,81.0,-23.12,-134.97,24.18,9.95
sabha,100.0,LY,1559086127,28.0,27.03,14.43,31.32,5.83
east london,44.0,ZA,1559086128,92.0,-33.02,27.91,11.69,1.89
hobart,40.0,AU,1559085918,75.0,-42.88,147.33,5.56,3.6
saint-philippe,90.0,CA,1559086133,87.0,45.36,-73.48,11.67,2.1
ketchikan,20.0,US,1559086135,56.0,55.34,-131.65,20.0,6.2
hasaki,75.0,JP,1559086136,93.0,35.73,140.83,19.0,3.1
jinxiang,0.0,CN,1559086137,28.0,35.07,116.31,21.11,3.34
san andres,85.0,PH,1559086139,69.0,13.32,122.68,29.75,1.36
vaini,59.0,IN,1559086140,87.0,15.34,74.49,25.9,0.85
thompson,75.0,CA,1559086141,33.0,55.74,-97.86,15.0,5.7
aleppo,0.0,SY,1559086142,25.0,36.2,37.17,24.8,1.61
havre-saint-pierre,90.0,CA,1559086144,75.0,50.23,-63.6,8.0,4.1
awjilah,84.0,LY,1559086145,28.0,29.14,21.3,29.3,3.87
tutoia,70.0,BR,1559086146,92.0,-2.76,-42.27,24.43,0.86
high rock,20.0,BS,1559086148,61.0,26.63,-78.28,27.0,4.6
bremerton,1.0,US,1559086060,70.0,38.4,-75.51,30.0,4.1
souillac,0.0,FR,1559086151,93.0,45.6,-0.6,12.78,2.6
karratha,17.0,AU,1559086152,25.0,-20.74,116.85,24.57,7.31
lebu,63.0,ET,1559086153,75.0,8.96,38.73,13.2,0.37
new norfolk,20.0,AU,1559086154,70.0,-42.78,147.06,6.0,4.6
galle,40.0,US,1559086155,66.0,29.74,-97.91,30.56,6.2
sakaiminato,20.0,JP,1559086157,60.0,35.55,133.23,20.0,8.2
